data_venda,cod_produto,cod_SAP,valor_venda
2026-03-13,78,8385,931.13
2026-06-01,70,1100465,1552.27
2026-04-30,25,1171287,916.86
2026-05-13,68,107679,927.62
2026-07-11,19,1040727,2000.09
2026-04-20,79,1132271,348.67
2026-07-01,73,1598249,2042.74
2026-04-26,46,1634590,1780.38
2026-05-26,22,1619164,1218.13
2026-06-02,22,1137969,1050.78
2026-03-15,50,1593944,1469.91
2026-03-15,3,86949,1293.94
2026-06-19,6,1174322,826.24
2026-07-26,34,1006512,1249.28
2026-07-29,68,20557,891.18
2026-06-12,63,81051,2399.57
2026-04-27,52,106171,2311.03
2026-05-19,23,15083,1258.00
2026-03-20,23,1106130,1366.75
2026-05-07,36,1142452,2173.91
2026-06-10,86,1618026,409.93
2026-05-09,85,187479,1636.28
2026-07-27,10,1772405,2366.17
2026-04-25,53,189187,497.67
2026-03-27,76,154914,881.30
2026-05-21,51,1770988,123.84
2026-04-16,33,18848,1366.65
2026-06-06,39,118457,433.93
2026-05-25,14,8396,709.51
2026-04-07,12,44342,1162.44
2026-06-28,8,10264,2369.52
2026-05-29,79,19100,945.57
2026-06-28,74,1105294,1998.98
2026-07-10,59,5420,1605.23
2026-06-29,77,1648255,1986.53
2026-06-02,77,131785,392.96
2026-05-18,69,65846,1229.76
2026-06-26,59,100165,1871.37
2026-07-07,43,1818092,326.22
2026-03-11,74,176760,733.57
2026-05-31,5,11344,117.01
2026-05-15,62,179021,1322.92
2026-04-02,68,171970,1982.75
2026-03-21,70,1145861,2279.33
2026-06-25,49,49614,571.81
2026-04-26,75,147080,1992.46
2026-04-03,6,1696813,1424.56
2026-06-14,70,1838616,1995.68
2026-04-29,84,6430,801.04
2026-03-19,86,146746,110.53
2026-05-22,59,10148,1391.29
2026-05-06,40,107631,2474.05
2026-06-18,42,1127613,1992.99
2026-03-10,41,124281,1375.06
2026-06-04,53,1649335,2258.49
2026-06-06,68,46417,2164.35
2026-05-01,86,194144,887.94
2026-03-23,50,107602,1680.20
2026-03-31,10,1112599,2492.48
2026-07-11,31,20194,796.28
2026-04-20,61,1813428,1981.45
2026-05-29,19,15995,1977.07
2026-03-30,11,163533,2470.52
2026-04-17,55,143361,2438.89
2026-03-15,87,22906,324.08
2026-05-16,72,17184,1970.78
2026-04-23,45,1654554,1470.24
2026-04-02,70,120986,2044.20
2026-04-09,47,1143811,560.91
2026-05-17,76,1111230,2497.34
2026-06-11,85,1747006,723.33
2026-07-28,53,66638,1157.80
2026-05-08,26,50595,1017.92
2026-07-29,58,187222,1714.76
2026-04-08,65,1830420,342.24
2026-06-17,26,76293,1100.51
2026-05-01,50,7187,2249.48
2026-03-19,31,176592,1795.79
2026-04-25,83,60987,2342.37
2026-07-01,36,7291,1616.47
2026-05-09,55,145380,1979.30
2026-07-09,64,152892,1606.99
2026-04-03,82,1785917,1955.79
2026-04-21,47,1169462,1110.37
2026-07-24,33,4503,1139.31
2026-03-23,24,176330,533.89
2026-07-22,67,1166522,2322.77
2026-05-11,60,1163711,2293.08
2026-07-19,22,20847,1911.44
2026-05-27,18,1643244,1712.33
2026-03-14,25,18187,1884.28
2026-07-05,86,124160,1078.28
2026-05-07,78,65952,1344.19
2026-06-04,4,4195,2058.65
2026-03-03,77,1080834,1304.93
2026-05-29,36,175365,2047.29
2026-05-19,41,1102538,2152.60
2026-04-17,67,1110134,259.81
2026-05-09,10,13194,257.71
2026-04-22,10,104814,1587.86
2026-03-31,48,199111,2354.01
2026-03-19,53,1778872,760.30
2026-05-31,49,132023,2348.37
2026-05-08,34,1117445,1108.19
2026-06-21,28,1125214,204.18
2026-04-08,77,1002268,968.38
2026-07-30,74,1603556,113.43
2026-05-04,35,115882,682.76
2026-05-14,50,63708,1509.28
2026-06-08,84,1604511,2161.62
2026-07-06,68,1098657,1765.77
2026-07-19,15,185194,1418.66
2026-06-28,44,100982,572.71
2026-05-07,53,107186,1082.17
2026-04-22,69,143791,2437.41
2026-04-11,22,63638,1618.18
2026-06-19,23,1710594,1813.11
2026-06-04,82,1113723,1804.42
2026-07-15,82,5812,2368.41
2026-03-14,85,107965,553.87
2026-04-30,36,85167,1978.02
2026-05-09,13,1150708,397.88
2026-03-06,50,88509,2398.49
2026-03-05,38,64064,1330.65
2026-05-17,34,112510,117.18
2026-03-31,72,1132098,1749.36
2026-03-10,79,1712187,2271.15
2026-06-08,69,1146826,2320.21
2026-03-12,46,107563,1235.54
2026-04-22,82,1116362,545.85
2026-03-16,67,10234,1298.89
2026-04-13,54,149463,287.16
2026-07-07,17,22758,325.83
2026-06-04,17,15810,1246.27
2026-04-08,70,3164,342.85
2026-03-14,43,63567,1320.55
2026-03-06,49,1108259,408.76
2026-05-11,58,70475,2365.99
2026-07-17,26,192515,1150.31
2026-06-28,84,1006390,262.43
2026-04-04,73,10401,487.88
2026-07-03,11,146155,1085.97
2026-06-10,56,68635,1545.62
2026-06-09,57,63686,1968.21
2026-07-27,41,175808,1046.91
2026-07-22,83,79240,744.40
2026-04-29,6,1078057,1938.57
2026-05-29,7,106932,545.64
2026-03-18,62,1613577,1018.06
2026-07-01,7,107647,1684.32
2026-07-25,57,53004,1410.90
2026-05-21,11,74182,1282.94
2026-06-17,74,1646566,790.70
2026-04-17,23,140680,814.67
2026-06-27,20,52892,1669.85
2026-04-20,32,1575722,2012.70
2026-03-13,25,63685,1718.43
2026-07-03,20,1697441,1822.90
2026-05-05,35,1570665,526.92
2026-05-31,1,185061,1194.44
2026-07-21,19,12555,2298.12
2026-05-18,9,82252,2010.29
2026-04-17,11,22169,874.79
2026-07-25,16,107810,2215.50
2026-05-03,60,1119102,1687.19
2026-03-11,8,57411,176.01
2026-07-03,13,153357,2454.80
2026-05-12,49,107332,332.06
2026-07-07,57,17288,221.04
2026-07-01,69,1156556,576.39
2026-03-07,3,1811215,860.66
2026-03-19,83,100605,1479.63
2026-06-01,70,1161031,1075.44
2026-07-11,66,134762,219.92
2026-06-01,28,159727,348.50
2026-04-08,68,123204,519.31
2026-06-26,87,20191,1603.55
2026-03-22,72,5025,294.64
2026-04-21,22,112837,1011.40
2026-06-21,40,22172,1485.21
2026-05-20,6,1148913,2210.14
2026-05-13,31,1640614,1301.92
2026-05-24,66,1818059,2307.46
2026-05-23,25,11723,2355.42
2026-05-14,50,1690023,780.09
2026-07-17,18,129205,860.34
2026-03-13,55,99294,561.56
2026-06-20,31,52691,1934.56
2026-05-25,66,49740,947.88
2026-05-14,62,1614176,2062.30
2026-06-10,18,142906,2251.93
2026-04-21,67,1838444,1946.02
2026-03-12,84,920,2216.40
2026-03-31,54,2371,1379.33
2026-05-26,46,115703,591.08
2026-05-26,17,1006885,1212.07
2026-06-13,67,1574203,1618.66
2026-07-21,54,1080834,1603.43
2026-07-16,32,1153000,572.96
2026-05-24,60,1771083,514.02
2026-04-06,14,22157,2393.83
2026-06-21,19,79218,981.01
2026-03-01,82,107188,1605.28
2026-06-15,12,165362,589.27
2026-07-07,42,10258,1711.01
2026-06-24,3,1776891,2424.83
2026-07-15,78,9899,1790.53
2026-07-19,66,79981,1212.36
2026-07-11,24,4169,2403.45
2026-04-10,69,1853023,580.86
2026-05-12,63,63617,993.86
2026-07-20,35,63640,1687.90
2026-07-08,64,1155277,355.76
2026-04-30,58,1569582,1099.32
2026-04-25,46,8065,2020.66
2026-04-24,75,1132540,446.74
2026-04-21,18,1607968,243.94
2026-06-25,79,1589437,2455.60
2026-04-21,48,150755,2088.55
2026-07-22,20,1614450,573.83
2026-04-14,65,1107205,1032.54
2026-05-13,69,7667,208.16
2026-03-12,60,1156439,663.01
2026-05-18,60,112561,2454.92
2026-07-04,66,4270,1759.09
2026-06-24,41,106905,1206.77
2026-04-10,15,7033,1093.54
2026-06-05,47,20642,1282.38
2026-03-18,8,5655,1218.29
2026-07-18,70,65705,1124.02
2026-03-31,22,4599,1968.57
2026-06-10,59,63832,448.42
2026-05-07,24,95402,2355.08
2026-03-06,14,63713,1357.84
2026-04-24,21,1853023,2493.76
2026-06-30,44,89260,125.97
2026-06-04,1,94314,488.89
2026-06-12,44,5652,1912.24
2026-07-07,63,7730,2373.86
2026-06-24,35,5425,603.55
2026-04-21,36,15951,1684.97
2026-06-12,14,20860,1210.90
2026-05-03,40,192517,437.35
2026-06-21,61,66997,2351.76
2026-05-03,63,1132572,1346.58
2026-03-23,54,1634072,237.73
2026-05-27,30,1132270,2060.13
2026-04-20,29,921,558.72
2026-06-30,70,1785935,709.64
2026-06-09,79,62414,561.98
2026-05-24,53,1120255,2166.10
2026-07-22,85,176330,231.12
2026-04-08,11,4789,2299.83
2026-05-16,61,63804,929.61
2026-04-30,6,1661899,298.68
2026-06-12,67,141683,954.55
2026-04-03,34,5485,2455.10
2026-05-23,36,1137144,1039.70
2026-03-30,27,11832,915.71
2026-06-07,39,1132098,518.62
2026-06-05,83,1095834,282.52
2026-07-05,19,5300,663.92
2026-06-21,87,1102670,2431.83
2026-07-07,6,141895,1450.05
2026-07-25,11,9832,2345.88
2026-04-03,52,18504,1045.59
2026-03-12,87,60206,2475.32
2026-05-26,45,18914,1494.80
2026-06-19,59,116876,1798.36
2026-05-03,47,65716,1458.93
2026-04-07,22,71204,2233.43
2026-03-30,44,1126074,884.16
2026-06-13,47,1670259,2475.07
2026-04-14,35,66921,1472.80
2026-03-10,41,15474,1397.63
2026-07-04,76,1743361,102.73
2026-04-10,18,1159636,666.54
2026-07-24,67,118665,1220.43
2026-06-02,29,6662,360.87
2026-04-07,56,19948,1610.73
2026-06-05,32,5326,1320.15
2026-06-10,50,1710594,158.49
2026-03-25,80,4846,2177.69
2026-03-09,87,148731,1057.83
2026-05-04,70,1113721,1561.50
2026-05-03,52,62471,2016.89
2026-04-28,12,1004845,803.87
2026-05-09,21,1615898,2093.87
2026-07-03,30,134712,535.75
2026-03-31,30,19744,2413.34
2026-04-19,7,1003755,1190.65
2026-04-14,36,70478,1544.59
2026-03-23,54,1572798,1290.09
2026-07-30,40,1014539,329.90
2026-04-26,7,153277,817.61
2026-03-06,56,74171,2418.57
2026-04-07,44,1607372,2429.26
2026-04-10,30,1003755,1922.33
2026-06-04,31,48761,647.35
2026-04-10,23,176389,840.82
2026-03-25,24,84449,1893.68
2026-03-03,11,19748,1046.89
2026-03-26,46,1168864,1267.94
2026-06-02,40,93041,196.77
2026-04-15,71,1713887,1978.57
2026-03-23,28,1146133,393.88
2026-05-13,57,157250,1055.21
2026-06-16,23,139721,1730.88
2026-06-14,60,111163,304.43
2026-03-26,57,1671700,1054.61
2026-05-15,81,1750410,1624.22
2026-04-20,5,1118385,946.57
2026-07-03,4,1586902,2217.06
2026-05-09,4,107409,1718.03
2026-03-26,21,78904,395.82
2026-06-12,3,8538,1442.79
2026-03-30,70,2395,1512.54
2026-04-10,16,51448,752.80
2026-03-27,63,1115197,2382.90
2026-06-25,54,191035,206.74
2026-05-27,16,1159578,451.81
2026-07-28,36,55129,356.89
2026-04-19,52,63864,463.16
2026-04-12,26,12205,1550.54
2026-06-19,14,14652,168.47
2026-07-14,15,127825,876.95
2026-06-18,52,1610904,1185.62
2026-04-18,12,109712,1710.16
2026-06-26,33,1734223,960.81
2026-06-19,6,114613,662.05
2026-03-16,58,74556,427.57
2026-03-29,27,1154300,1270.26
2026-03-23,43,67797,1464.95
2026-07-12,45,198315,1748.50
2026-05-25,27,109221,1429.37
2026-04-12,13,186551,2276.07
2026-06-12,15,10708,320.36
2026-05-02,69,141636,2399.69
2026-06-20,80,103095,1182.91
2026-07-27,24,18850,2484.41
2026-06-17,77,18478,1511.94
2026-05-28,13,63885,891.15
2026-03-18,60,107679,1816.91
2026-04-07,41,12044,2078.70
2026-06-25,46,1812869,1083.73
2026-04-03,56,6366,1595.39
2026-04-23,27,65784,1597.05
2026-04-23,19,149018,1645.51
2026-04-08,17,18292,899.63
2026-05-10,9,1165740,485.66
2026-06-07,22,1006448,1174.16
2026-04-01,13,44728,1231.12
2026-05-31,25,10465,525.60
2026-04-08,50,68888,1847.73
2026-07-02,48,1709765,153.32
2026-07-02,80,6379,1120.93
2026-05-27,78,90428,1710.73
2026-04-30,49,10782,879.74
2026-05-01,45,16766,2148.27
2026-07-08,77,1799502,199.06
2026-06-25,38,180550,2373.28
2026-06-10,15,1127331,2144.44
2026-03-24,60,79240,1325.50
2026-04-11,35,1149411,1668.26
2026-06-07,83,82203,887.27
2026-04-19,30,99113,1345.82
2026-06-02,39,50547,795.15
2026-07-24,42,1114979,841.18
2026-06-26,18,118506,131.68
2026-07-10,70,4089,1675.15
2026-06-26,71,1000602,460.90
2026-07-01,47,1108199,2219.67
2026-06-27,15,114616,1074.86
2026-07-02,51,13582,1467.63
2026-03-18,37,94893,1902.02
2026-03-13,52,1103466,1235.86
2026-06-18,44,12890,1621.04
2026-07-13,25,17289,1501.68
2026-05-28,4,1006482,719.76
2026-07-20,71,17289,1490.69
2026-04-18,37,14642,1941.40
2026-04-08,54,20017,1205.69
2026-05-04,26,1663797,1364.61
2026-06-27,10,18223,680.68
2026-05-28,16,14769,964.15
2026-07-28,39,1750410,1922.03
2026-05-29,49,106918,356.39
2026-04-10,10,1097311,2129.90
2026-04-29,30,6410,806.50
2026-06-01,79,149400,1374.34
2026-06-01,80,1176299,698.05
2026-05-22,61,15024,1920.62
2026-05-26,50,1786911,720.49
2026-04-09,85,72370,278.67
2026-07-08,13,1135289,2221.68
2026-05-29,48,4522,770.71
2026-03-31,47,1808955,764.05
2026-07-08,10,90428,2374.87
2026-03-29,8,41514,2100.81
2026-03-14,31,1106695,1511.47
2026-05-31,41,1092445,1670.13
2026-04-28,37,15686,858.61
2026-03-27,68,1626563,955.73
2026-05-24,42,5298,1370.01
2026-05-16,60,2629,1057.30
2026-05-02,57,16562,2160.69
2026-06-17,56,6111,247.08
2026-03-14,60,143777,1671.10
2026-04-07,77,11287,2263.35
2026-07-21,23,6236,1154.06
2026-07-13,81,147786,539.27
2026-04-22,50,18292,1738.52
2026-05-13,62,100096,775.86
2026-05-22,44,1017526,1091.12
2026-06-03,31,142906,447.43
2026-04-24,74,1690331,459.88
2026-04-12,48,1779163,654.20
2026-06-08,73,191035,921.48
2026-07-28,59,1702666,2165.65
2026-04-05,22,107740,1899.15
2026-06-04,36,1001199,1198.71
2026-03-07,65,1776437,2157.38
2026-05-28,79,11236,1632.78
2026-07-06,79,124282,1697.27
2026-04-08,66,52729,2152.86
2026-03-12,39,63753,1211.22
2026-04-03,74,112659,439.54
2026-05-13,27,113000,531.34
2026-03-17,20,2931,2087.40
2026-06-22,16,114091,1495.25
2026-03-08,82,21237,1858.34
2026-07-06,71,1782161,1227.03
2026-04-30,84,158338,2213.48
2026-06-15,13,1159284,2359.80
2026-05-29,24,147883,471.44
2026-03-27,55,1121669,270.46
2026-04-16,77,86808,2408.90
2026-07-23,7,1635067,1596.99
2026-07-19,65,56847,2257.01
2026-07-14,4,15749,1486.77
2026-07-27,55,2790,150.18
2026-07-20,57,107770,1082.67
2026-05-11,87,15653,1709.81
2026-05-07,76,189100,979.37
2026-05-22,65,107690,1676.01
2026-03-10,50,56734,1795.71
2026-05-02,17,104506,1045.68
2026-05-24,80,1039614,2401.85
2026-03-04,38,1593491,288.70
2026-05-11,73,44104,1393.14
2026-05-31,54,55861,926.39
2026-05-28,65,7340,1572.43
2026-06-01,85,63695,2198.56
2026-05-09,65,1831708,1183.76
2026-06-25,28,9143,639.08
2026-07-25,68,1615884,1794.08
2026-06-22,22,63299,673.54
2026-07-01,1,19952,1779.37
2026-05-03,77,9423,1523.33
2026-03-06,15,60828,839.72
2026-07-22,80,9957,1491.11
2026-07-02,84,79150,752.19
2026-04-29,80,126162,2359.16
2026-07-18,82,19577,2122.01
2026-06-27,17,59795,938.78
2026-03-16,27,1603,1463.54
2026-04-18,59,1574648,2062.48
2026-03-14,1,41565,545.00
2026-05-15,11,3771,634.54
2026-05-22,45,1643864,814.46
2026-07-25,3,1083481,1403.39
2026-03-19,11,1096118,2069.40
2026-03-22,52,1594433,190.88
2026-07-29,22,112397,1637.59
2026-06-05,69,1014868,215.06
2026-06-06,46,112230,1408.56
2026-05-21,26,162118,1932.33
2026-06-18,82,1040727,1687.33
2026-06-12,47,1127268,2384.10
2026-07-12,29,1088300,1377.61
2026-04-22,81,8278,1411.22
2026-07-08,79,1097764,2030.87
2026-06-25,22,1690243,429.41
2026-05-24,27,1650193,731.34
2026-03-26,73,1035741,2185.97
2026-04-19,68,165237,1872.57
2026-07-23,45,1080523,444.47
2026-07-02,55,55861,1521.11
2026-03-12,54,67162,740.34
2026-05-20,9,1125847,876.98
2026-06-11,77,162119,1474.46
2026-05-18,73,8199,2401.59
2026-05-14,32,1807327,929.74
2026-06-29,27,1600096,675.83
2026-06-12,1,1795465,545.72
2026-06-09,24,1127327,2485.31
2026-05-30,81,80754,1769.53
2026-07-02,62,1591823,326.77
2026-06-04,21,77663,2497.50
2026-07-21,51,1592731,1414.33
2026-05-23,43,8284,259.20
2026-04-02,1,1742393,1748.55
2026-05-23,70,1116678,1221.56
2026-04-22,33,1653929,2446.05
2026-05-10,40,157664,545.49
2026-03-18,65,1139534,1469.23
2026-07-17,42,188003,2330.70
2026-04-26,54,66100,285.41
2026-04-03,85,65657,623.30
2026-07-22,47,107708,1368.78
2026-03-26,56,31776,2298.16
2026-03-20,82,1133418,2133.27
2026-03-01,14,197633,1753.65
2026-04-20,41,57411,1120.64
2026-04-17,31,12310,2299.74
2026-05-07,37,14973,620.68
2026-06-04,85,1602929,1083.38
2026-06-22,53,1787193,1105.20
2026-07-19,86,163250,563.16
2026-05-13,14,1083213,1157.81
2026-03-05,54,1807852,767.18
2026-05-29,73,1068237,865.02
2026-04-12,77,1094246,376.09
2026-05-11,79,6903,798.40
2026-06-02,43,1135289,2276.62
2026-03-13,49,18847,572.97
2026-04-06,4,107632,1158.43
2026-04-22,19,63788,831.38
2026-03-17,44,1116713,2236.43
2026-07-20,20,1116744,546.01
2026-03-31,7,50619,1337.24
2026-04-13,1,54628,2219.41
2026-05-27,20,12436,760.00
2026-07-26,46,63578,514.98
2026-06-29,78,95677,795.11
2026-03-21,4,79291,143.14
2026-04-29,14,55861,1314.25
2026-07-18,38,120660,193.01
2026-04-16,6,20654,2102.14
2026-03-02,85,174334,1387.62
2026-07-15,46,1148380,2122.95
2026-06-03,59,107749,372.90
2026-03-12,66,1945,2006.28
2026-05-13,34,1838444,2468.05
2026-07-14,22,75906,1049.12
2026-07-14,71,70613,307.44
2026-05-04,71,72430,873.52
2026-04-26,59,47141,1814.56
2026-06-08,73,99999,440.86
2026-05-31,4,107173,286.67
2026-04-15,69,1117445,258.18
2026-07-07,4,1136444,1908.03
2026-06-04,70,1772524,1587.02
2026-04-26,73,1080797,1428.28
2026-03-15,70,106916,503.22
2026-07-20,73,70535,1927.98
2026-04-18,61,187370,824.71
2026-05-17,51,47754,776.03
2026-05-04,41,151175,1631.89
2026-06-20,59,139717,1737.93
2026-03-17,5,1129573,354.78
2026-03-23,69,1000144,1705.31
2026-07-20,38,89698,2305.73
2026-04-12,60,50619,1289.71
2026-07-12,18,1091270,2239.53
2026-07-16,26,1808967,358.45
2026-03-02,79,167867,368.26
2026-06-22,44,133984,440.56
2026-06-21,2,137525,1515.98
2026-04-19,28,107370,340.63
2026-03-18,61,7081,418.31
2026-05-22,22,165428,297.43
2026-07-09,18,51885,1882.92
2026-05-08,72,65645,2215.75
2026-06-21,57,1812856,1554.19
2026-03-08,65,18357,1281.44
2026-07-17,8,14926,2442.45
2026-06-09,80,145836,2206.66
2026-05-13,13,1125638,627.19
2026-04-29,83,13983,2346.47
2026-03-01,49,1525328,354.93
2026-07-29,47,80526,1869.67
2026-07-01,55,15750,2229.59
2026-03-22,78,89243,874.92
2026-03-24,36,80833,417.94
2026-05-12,6,65691,1620.72
2026-03-07,68,122460,315.09
2026-06-19,66,1129855,1315.52
2026-03-31,53,67131,1717.30
2026-03-12,20,1109353,1767.13
2026-04-04,69,78904,2312.27
2026-05-07,58,99630,947.30
2026-04-12,80,1713808,1907.89
2026-03-28,48,1132401,783.23
2026-07-22,20,122462,1745.61
2026-03-18,15,9288,779.32
