Cod_SAP,CNPJ,RazaoSocial,Rua_Numero,matriz_filial,nome_fantasia,codigo_situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,nome_cidade_exterior,codigo_pais,data_inicio_atividade,cnae_principal,cnae_secundario,tipo_logradouro,logradouro,numero,complemento,bairro,cep,uf,codigo_municipio_siafi,ddd1,telefone1,ddd2,telefone2,dddfax,fax,email,situacao_especial,data_situacao_especial,cnpj_basico,cnpj_ordem,cnpj_dv,latitude,longitude
111740,05059970000186,MG AUTO POSTO LIDER LTDA,"ROD MA 123, S/N",1,AUTO POSTO LIDER,02,20040605,00,null,null,20020524,4731800,"4732600,4930202,4930203",RODOVIA,MA 123,S/N,KM: 27;,ZONA URBANA,65921000,MA,0150,99,35242739,null,null,99,35242739,POSTOLIDER01@OUTLOOK.COM,null,null,05059970,0001,86,-5.0426214,-47.8032284
60028,03415487000161,M. PILATTI & CIA LTDA,"AV MONTEIRO LOBATO, 1535",1,null,02,20050827,00,null,null,19990910,4731800,"4520005,4530703,4723700,4729699,4732600,4930203,5611203,6810202",AVENIDA,MONTEIRO LOBATO,1535,TERREO,JD. CARVALHO,84015480,PR,7777,42,32366143,null,null,042,2245115,ADMINISTRATIVO@TIOMUCUFA.COM.BR,null,null,03415487,0001,61,-25.0770924,-50.1547169
74913,05076433000144,POSTO ITAMARATI - MARCOPOLO LTDA.,"AV MARGINAL DE ACESSO A ENG. SCHIMIDT, 205",1,null,02,20020529,00,null,null,20020529,4731800,4732600,AVENIDA,MARGINAL DE ACESSO A ENG. SCHIMIDT,205,null,DISTR. ENG. SCHIMIDT,15104000,SP,7097,017,2323988,null,null,017,2323980,null,null,null,05076433,0001,44,null,null
63788,01788102000186,AUTO POSTO RICAO LTDA,"AV PRESIDENTE VARGAS, 3932",1,AUTO POSTO RICAO,02,20051103,00,null,null,19970403,4731800,"4732600,4729602,4722901,4722902,4520005",AVENIDA,PRESIDENTE VARGAS,3932,null,CENTRO,79570000,MS,9019,067,5651844,null,null,067,5651844,null,null,null,01788102,0001,86,null,null
79211,05101388000130,AUTO POSTO PIONEIRO LTDA,"ROD BR 101 NORTE KM 75, S/N",1,POSTOS DE COMBUSTIVEIS PICHILAU,02,20051103,00,null,null,20020614,4731800,4732600,RODOVIA,BR 101 NORTE KM 75,S/N,ZONA RURAL,ZONA RURAL,57100000,AL,2853,82,2621272,null,null,82,2621282,null,null,null,05101388,0001,30,null,null
778,00210913000132,AUTO POSTO KORUJAO PARAIBUNA LTDA,"DOS TAMOIOS, S/N",1,AUTO POSTO KORUJAO,02,20051103,00,null,null,19940914,4731800,4732600,RODOVIA,DOS TAMOIOS,S/N,KM 46,COMERCIO,12260000,SP,6813,null,null,null,null,null,null,null,null,null,00210913,0001,32,-23.5011273,-45.6385125
5712,03521199000191,KG COMERCIO E COMBUSTIVEIS LTDA,"AV ENGENHEIRO ALBERTO SA, 1340",1,POSTO DUNAS,02,20010708,00,null,null,19991124,4731800,"4732600,4729699,4520005",AVENIDA,ENGENHEIRO ALBERTO SA,1340,null,PAPICU,60175395,CE,1389,null,null,null,null,null,null,null,null,null,03521199,0001,91,null,null
113187,01869998000128,POSTO DE COMBUSTIVEIS OSANAN LTDA,"LOT VILLAGE DE JACUMA, 122",1,POSTO PARAISO,02,20040214,00,null,null,19970603,4731800,4732600,LOTEAMENTO,VILLAGE DE JACUMA,122,QUADRA09                  LOTE  1,PRAIA DE JACUMA,58322000,PB,1993,83,99884235,null,null,null,null,POSTOOSANAN@HOTMAIL.COM,null,null,01869998,0001,28,null,null
47661,05202041000184,AUTO POSTO AVENIDA RRS LTDA.,"AV.RUBENS RIBEIRO DA SILVA, 265",1,POSTO AVENIDA,02,20020723,00,null,null,20020723,4731800,"1091102,4520005,4520006,4711302,4713002,4721102,4729602,4732600,4784900,4789001,4789099,5611201,5611203",AVENIDA,RUBENS RIBEIRO DA SILVA,265,null,CAMPO DA AGUA VERDE,89460000,SC,8073,47,36226407,null,null,47,6222766,POSTOAVENIDA.ADM@OUTLOK.COM,null,null,05202041,0001,84,-26.1887084,-50.5549719
1094619,01899150000141,POSTO PERIMETRAL LTDA,"R CANOAS, 44",1,POSTO PERIMETRAL,02,20040402,00,null,null,19970606,4731800,"4732600,4729602",RUA,CANOAS,44,      ROD. PE-15,JAGUARIBE,53420000,PE,2513,81,33725329,null,null,null,null,POSTOPERIMETRAL@POSTOSPG.COM.BR,null,null,01899150,0001,41,null,null
5772,03572011000134,COMERCIAL DE COMBUSTIVEIS LIMA LTDA,"AV JOSE BEZERRA DE A.SOBRINHO, S/N",1,POSTO NOSSA SENHORA APARECIDA,02,20051103,00,null,null,19991214,4731800,"4520006,4530703,4729602,4732600,4784900",AVENIDA,JOSE BEZERRA DE ALBUQUERQUE SOBRINHO,S/N,null,CENTRO,55578000,PE,0558,null,null,null,null,null,null,null,null,null,03572011,0001,34,null,null
44987,05294302000133,AUTO POSTO SANTA CATARINA LTDA,"R 246, 801",1,null,02,0,00,null,null,20020923,4731800,4732600,RUA,246,801,null,ANDORINHA,88220000,SC,8163,null,null,null,null,null,null,null,null,null,05294302,0001,33,-27.106748,-48.6288642
3514,01958174000124,COMERCIAL DE COMBUSTIVEIS MINEIRO LTDA,"BR 290, 9121",1,null,02,20030906,00,null,null,19970701,4731800,"4732600,4729602",ESTRADA,BR 290,9121,null,OLIVOLANDIA,92990000,RS,8423,51,36511772,null,null,null,null,null,null,null,01958174,0001,24,-30.0742555,-51.4939853
42309,03679029000130,COMERCIO DE COMBUSTIVEIS PEDRA SELADA LTDA,"AV.ARTHUR THOMAS, 460",1,POSTO SANTO EXPEDITO,02,20050827,00,null,null,20000301,4731800,"4732600,4729602,4530703",AVENIDA,ARTHUR THOMAS,460,null,JARDIM BANDEIRANTES,86065000,PR,7667,43,33481717,null,null,null,null,null,null,null,03679029,0001,30,-23.3019819,-51.2029918
47441,05354583000172,POSTO LUCAS LTDA,"AV.TRANSNORDESTINA, 183",1,POSTO LUCAS,02,20021021,00,null,null,20021021,4731800,"4520001,4520004,4530705,4541206,4732600,4930203",AVENIDA,TRANSNORDESTINA,183,null,COHAB,64750000,PI,1155,89,94007683,null,null,null,null,FINANCEIRO@POSTOSLUCAS.COM.BR,null,null,05354583,0001,72,null,null
55643,05355980000169,ARILDO CLODOALDO MOREIRA & CIA. LTDA.,"R.SAO JOSAFAT, S/N",1,A.C.M. AUTO POSTO,02,20021022,00,null,null,20021022,4731800,"4313400,4520005,4520006,4732600,4789005,4930201,4930202,4930203,6619302,7732201",RUA,SAO JOSAFAT,S/N,null,CENTRO,84400000,PR,7791,null,null,null,null,null,null,null,null,null,05355980,0001,69,-25.1023112,-51.1376317
67320,05378824000113,GILDA & JOAO LTDA,"BR -316, S/N",1,CORUJAO,02,0,00,null,null,20021105,4731800,"4732600,4930203",null,BR -316,S/N,null,BAIXA GRANDE,64450000,PI,1127,86,98539696,null,null,null,null,CORUJAOMATRIZ@HOTMAIL.COM,null,null,05378824,0001,13,null,null
46429,05381715000155,TACARUNA PETROLEO LTDA,"AV GOV. AGAMENON MAGALHAES, 1101",1,TACARUNA PETROLEO,02,20051103,00,null,null,20021113,4731800,"4729602,4732600",AVENIDA,GOV.    AGAMENON  MAGALHAES,1101,null,SANTO AMARO,52031330,PE,2531,81,92090791,null,null,null,null,FV_MIRANDA@HOTMAIL.COM,null,null,05381715,0001,55,null,null
3645,02041746000179,CARVALHO SANTOS COMERCIO DE COMBUSTIVEIS LTDA,"R SAO LOURENCO, 41",1,POSTO DE COMBUSTIVEL ITABAI,02,20051103,00,null,null,19970811,4731800,4732600,RUA,SAO LOURENCO,41,CASA,CENTRO,45760000,BA,3695,77,34271270,null,null,null,null,PROCESSOS@DMCONSULTORIACONTABIL.COM.BR,null,null,02041746,0001,79,null,null
65397,00089746000202,ARAUJO PETROLEO LTDA,"AV.CASTELO BRANCO, 253",2,POSTO KARIRI,02,20050312,00,null,null,19990519,4731800,"4520004,4530703,4530705,4729699,4732600,4930203",AVENIDA,CASTELO BRANCO,253,null,SANTA TERESA,63050480,CE,1447,088,5115240,null,null,null,null,null,null,null,00089746,0002,02,null,null
1965,00689901000302,PECOBRAL COMERCIO DE DERIVADOS DE PETROLEO BRASILIA LTD,"SPGM QUADRA CENTRAL LOTE, K",2,FILIAL 01,02,20051103,00,null,null,20010101,4731800,4732600,SETOR,SPGM QUADRA CENTRAL LOTE,K,null,SOBRADINHO,73070043,DF,9701,061,2732215,null,null,null,null,null,null,null,00689901,0003,02,null,null
107732,05477023000105,POSTO 25 COMERCIO DE COMBUSTIVEIS LTDA,"AV ROMULO MAIORANA, SN",1,POSTO 25,02,20030123,00,null,null,20030123,4731800,"4729602,4732600",AVENIDA,ROMULO MAIORANA,SN,null,SAO BRAS,66093635,PA,0427,91,33519115,null,null,null,null,SCT357@GMAIL.COM,null,null,05477023,0001,05,null,null
1817,00570841000134,AUTO POSTO WEST LTDA,"AV 15 DE OUTUBRO, 1408",1,null,02,20051103,00,null,null,19950420,4731800,"4732600,6810202,4520005",AVENIDA,15 DE OUTUBRO,1408,null,JARDIM AEROPORTO,15387070,SP,2943,18,37424955,null,null,null,null,SGUIRRO.1@BOL.COM.BR,null,null,00570841,0001,34,null,null
57826,05577012000105,POSTO POETA LTDA,"AV.DOM PEDRO I, 2355",1,null,02,0,00,null,null,20030210,4731800,"4520005,4732600",AVENIDA,DOM PEDRO I,2355,null,SAO JOAO BATISTA,31515300,MG,4123,null,null,null,null,null,null,null,null,null,05577012,0001,05,-19.8183842,-43.9555987
6184,03930791000147,AUTO POSTO FALQUETO LTDA,"AV 29 DE JULHO, 2575",1,POSTO IMIGRANTE,02,20000706,00,null,null,20000706,4731800,"4520005,4520006,4732600,4784900,6810202",AVENIDA,29 DE JULHO,2575,LOJA  01,BANANEIRAS,29375000,ES,5729,28,35463474,null,null,28,35461544,POSTOFALQUETO@GMAIL.COM,null,null,03930791,0001,47,-20.3778126,-41.1401349
6215,03960741000102,RANGILCAR POSTO E SERVICOS LTDA,"ROD BR 262 KM 172.8, S/N",1,POSTO VARGEM LINDA,02,20051103,00,null,null,20000726,4731800,4732600,RODOVIA,"BR 262, KM 172,8",S/N,null,VARGEM LINDA,35995000,MG,5219,null,null,null,null,null,null,null,null,null,03960741,0001,02,-19.9598998,-42.9027576
6236,03980102000109,J. PEREIRA DE JESUS & CIA LTDA,"R.01, 56",1,BOA VISTA AUTO POSTO LTDA,02,20050930,00,null,null,20000807,4731800,"4530703,4631100,4634601,4635401,4635402,4637101,4637102,4637103,4637104,4637105,4637107,4646002,4649408,4712100,4721103,4721104,4729602,4732600,4930202,4930203",RUA,01,56,null,JARDIM TROPICAL,69314580,RR,0301,95,36245000,null,null,null,null,null,null,null,03980102,0001,09,2.8103345,-60.7359613
5535,03383858000413,AUTO POSTO MORRINHO LTDA EM LIQUIDACAO EXTRAJUDICIAL,"BR 262, S/N",2,POSTO PAULISTA,02,20051103,00,null,null,19841212,4731800,4732600,RODOVIA,BR 262,S/N,KM 54,ZONA RURAL,79321600,MS,9063,null,null,null,null,null,null,null,null,null,03383858,0004,13,null,null
1957,00678834000150,POSTO FURACAO LTDA,"AV DOUTOR JOSE DE MAGALHAES PINTO, 1705",1,null,02,20020713,00,null,null,19950702,4731800,"4520005,4732600",AVENIDA,DOUTOR JOSE DE MAGALHAES PINTO,1705,null,GIOVANINI,35170097,MG,4387,31,38462300,null,null,null,null,POSTOFURACAO1@HOTMAIL.COM,null,null,00678834,0001,50,-19.5181188,-42.6286382
71204,04010130000166,GAROTINHO COMERCIO DE COMBUSTIVEIS LTDA,"R.ALCINDA RIBEIRO DE SOUZA, 203",1,null,02,20050827,00,null,null,20000825,4731800,"4520005,4681801,4729602,4930202,5611201,5611203",RUA,ALCINDA RIBEIRO DE SOUZA,203,null,CENTRO,76970000,RO,0011,69,34512656,null,null,69,4512449,POSTOGAROTINHO@HOTMAIL.COM,null,null,04010130,0001,66,null,null
1969,00692418000107,AUTO POSTO CINCO ESTRELAS LTDA,"LOC SH/NORTE PLL QD 05, S/N",1,null,02,20010825,00,null,null,19830203,4731800,"4520005,4732600,4784900",SETOR,SHN QUADRA 5 BLOCO L PLL,S/N,null,ASA NORTE,70705120,DF,9701,61,32483942,null,null,null,null,FINANCEIRO.REDEAUTOSHOPPING@GMAIL.COM,null,null,00692418,0001,07,null,null
63653,04017412000195,POSTO DO SALU LTDA.,"ROD PR 323, S/N",1,null,02,20050827,00,null,null,20000830,4731800,4732600,RODOVIA,PR 323,S/N,KM 284,ZONA RURAL,87400000,PR,7529,null,null,null,null,null,null,null,null,null,04017412,0001,95,-23.7400793,-53.0888943
1987,00709602000112,NELSON CARVALHO DA SILVA,"JOSE SIQUEIRA, S/N",1,POSTO RENNIE,02,20050827,00,null,null,19950720,4731800,4732600,RUA,JOSE SIQUEIRA,S/N,null,FATIMA,62300000,CE,1583,null,null,null,null,null,null,null,null,null,00709602,0001,12,null,null
48865,04145589000843,ARARA AZUL REDE DE POSTOS LTDA,"ROD ES 010, S/N, S/N",2,POSTO ARARA AZUL,02,20051103,00,null,null,20021008,4731800,"5611201,4520005,4732600",RODOVIA,ES  010,S/N,null,PRAIA DOS PADES,29195000,ES,5611,null,null,null,null,null,null,null,null,null,04145589,0008,43,null,null
1122133,00723674000114,AUTO POSTO PERSEU LTDA,"AVENIDA CASSIOPEIA, 1024",1,MONTANA,02,20021207,00,null,null,19950724,4731800,4732600,AVENIDA,CASSIOPEIA,1024,null,JD SATELITE,12230010,SP,7099,null,null,null,null,null,null,null,null,null,00723674,0001,14,-23.2292698,-45.8863632
66100,04327828000290,POSTO NEVES E VIANA LTDA,"ROD. BR 222 KM 08, 2590",2,POSTO IPARANA II,02,20040728,00,null,null,20040728,4731800,"4732600,4784900",RODOVIA,BR-222,2590,KM    08,PARQUE SOLEDADE,61603010,CE,1373,85,33422132,null,null,85,33422132,POSTOIPARANA@HOTMAIL.COM,null,null,04327828,0002,90,null,null
7090,04610978000207,MOCAPEL AUTO POSTO LTDA,"ROD BR 174, SN",2,MOCAPEL AUTO POSTO,02,20040605,00,null,null,19911203,4731800,"4530703,4729602,4729699,4784900,4930203,4930202,7731400,7732201",RODOVIA,BR 174,SN,      KM212,CENTRO,69373000,RR,0036,95,35371184,95,35371184,095,5371184,null,null,null,04610978,0002,07,0.2619011,-60.9540073
7340,04903852000220,AUTO POSTO PATRAO CACOAL LTDA,"AV SAO PAULO, 2800",2,POSTO SAO JOSE II,02,20040306,00,null,null,19900723,4731800,"4732600,4930202,4930203,4784900,4729699,5611203,4520005,4520006,4520007",AVENIDA,SAO PAULO,2800,null,CENTRO,76963802,RO,0009,69,34414021,69,34413289,69,34414021,null,null,null,04903852,0002,20,null,null
115882,04090835000130,AUTO POSTO MANDARAI LTDA,"AV. TIRADENTES, 1300",1,null,02,0,00,null,null,20001006,4731800,4732600,AVENIDA,TIRADENTES,1300,null,CENTRO,19400000,SP,6931,null,null,null,null,null,null,null,null,null,04090835,0001,30,-21.7718151,-51.8100218
6385,04099469000180,AUTO POSTO INTEGRACAO LTDA.,"R JOAO CANDIDO FERREIRA, 505",1,AUTO POSTO INTEGRACAO,02,20051103,00,null,null,20001016,4731800,"4520005,4723700,4729602,4732600,4761002",RUA,JOAO CANDIDO FERREIRA,505,null,CENTRO,84500004,PR,7607,42,34223506,null,null,null,null,ATALAIA.IRATI@HOTMAIL.COM,null,null,04099469,0001,80,null,null
4157,02414798000143,AUTO POSTO DANILO LTDA,"AV FERDINANDO JUNGERS, 151",1,null,02,20010225,00,null,null,19980317,4731800,4732600,AVENIDA,FERDINANDO JUNGERS,151,null,CENTRO,08940000,SP,6231,null,null,null,null,null,null,null,null,null,02414798,0001,43,-23.6363102,-46.018188
2088,00805827000172,POSTO QNO 01 LTDA,"QNO 01 PLL, SN",1,POSTO QNO,02,20051103,00,null,null,19950915,4731800,"4732600,4520006",null, QNO 01 PLL,S/N,null,CEILANDIA NORTE,70310500,DF,9701,null,null,null,null,null,null,null,null,null,00805827,0001,72,null,null
7705,06656656000224,CACIQUE PETROLEO LTDA,"AV MIGUEL ROSA, 3833",2,POSTO CACIQUE 1,02,20051103,00,null,null,19750424,4731800,4732600,AVENIDA,MIGUEL ROSA,3833,SUL,PICARRA,64001973,PI,1219,86,32288888,86,32218920,null,null,FISCAL@POSTOSCACIQUE.COM.BR,null,null,06656656,0002,24,null,null
7711,06656656001387,CACIQUE PETROLEO LTDA,"AV DUQUE DE CAXIAS, 2448",2,POSTO CACIQUE 7,02,20051103,00,null,null,19900607,4731800,4732600,AVENIDA,DUQUE DE CAXIAS,2448,null,PRIMAVERA,64002600,PI,1219,86,32288888,86,32251478,null,null,FISCAL@POSTOSCACIQUE.COM.BR,null,null,06656656,0013,87,-5.100066,-42.8040571
114091,05809583000110,POSTO GRAFFITI DE CAMPOS LTDA.,"R.BARAO DE MIRACEMA, 487",1,POSTO GRAFFITI,02,20030722,00,null,null,20030722,4731800,"4729602,4732600,5611201,5611203",RUA,BARAO DE MIRACEMA,487,null,CENTRO,28030361,RJ,5819,null,null,null,null,null,null,null,null,null,05809583,0001,10,-21.7596888,-41.3435663
8091,07868912000471,GONCALVES & DIAS LTDA,"PRIMEIRO DE JANEIRO, 1569",2,POSTO CIDADE,02,20041211,00,null,null,19980820,4731800,4732600,RUA,PRIMEIRO DE JANEIRO,1569,POSTO CIDADE,CENTRO,68371020,PA,0411,091,5151170,null,null,091,5151170,FISCAL.GDIAS@GRUPOGDIAS.COM.BR,null,null,07868912,0004,71,null,null
99542,00832390000166,QUADRANTE EMPREENDIMENTOS IMOBILIARIOS E NAUTICOS LTDA,"R PEDRO JOSE HOFFMANN, 33",1,RESTAURANTE & MARINA PIER 33,02,20031004,00,null,null,19950929,4731800,"3317102,4110700,4732600,4763605,5611201,5611203,6810201,6810202,7719501,9329899",RUA,PEDRO JOSE HOFFMANN,33,null,CENTRO,88160194,SC,8045,48,32433266,48,32853333,null,null,GERENCIA@PIER33.COM.BR,null,null,00832390,0001,66,null,null
66389,02470627000131,CENTER POSTO LTDA,"R ZEZE LIMA, 325",1,CENTER POSTO,02,19990624,00,null,null,19980406,4731800,4732600,RUA,ZEZE LIMA,325,null,CENTRO,35680045,MG,4675,null,null,null,null,null,null,null,null,null,02470627,0001,31,null,null
7515,05843222000190,POSTO BARREIRINHAS LTDA,"R LAURO SODRE, 520",1,null,02,20051103,00,null,null,19781002,4731800,"5510801,4784900,4732600,4729602,6810202,4930203",RUA,LAURO SODRE,520,null,SAO JOSE,68456904,PA,0561,94,37874559,94,37872133,null,null,jrmatrizfiscal@hotmail.com.br,null,null,05843222,0001,90,null,null
107188,12689295000304,FLOR E OLIVEIRA LTDA,"R ANTONIO ALVES PESSOA, 1945",2,null,02,20020906,00,null,null,20020906,4731800,"4520005,4530703,4530705,4732600,4784900,6810202,9601701",AVENIDA,ANTONIO ALVES PESSOA,1945,null,CENTRO,59219000,RN,1635,084,2832219,null,null,null,null,postointregracao@digi.com.br,null,null,12689295,0003,04,null,null
8998,12781233000824,PETROCAL PETROLEO CAVALCANTI LIMITADA,"ROD.BR 232 KM 37/38, S/N",2,PETROCAL BONANCA,02,20051103,00,null,null,20000411,4731800,"4530703,4732600,4729602",RODOVIA,BR 232 KM 37/38,S/N,null,LOTEAMENTO NOVA VITORIA,55602000,PE,2627,81,33014888,null,null,81,33014890,PETROCALLTDA@PETROCAL.COM.BR,null,null,12781233,0008,24,null,null
9081,13113477000478,J. L. OLIVEIRA & BARROS LTDA,"AV GENTIL TAVARES, 381",2,AUTO POSTO OLIVEIRA,02,20020126,00,null,null,19881027,4731800,"4530703,4784900,4930203",AVENIDA,GENTIL TAVARES,381,CASA,GETULIO VARGAS,49055670,SE,3105,79,96094017,null,null,null,null,POSTOJL01@GMAIL.COM,null,null,13113477,0004,78,null,null
6585,04205071000181,AUTO POSTO APOIO 2G LTDA,"R PERIMETRAL, 1360",1,AUTO POSTO APOIO,02,20050827,00,null,null,20001213,4731800,4732600,RUA,PERIMETRAL,1360,null,PARQUE INDUSTRIAL,15370000,SP,6849,null,null,null,null,null,null,null,null,null,04205071,0001,81,-20.6312603,-51.1376317
1763792,00871495000124,COMERCIO DE COMBUSTIVEIS J B LTDA,"AV BRASIL, 950",1,null,02,20051103,00,null,null,19951010,4731800,"4520005,4732600,4530703,4729602,4784900",AVENIDA,BRASIL,950,TERREO,CENTRO,86890000,PR,7473,043,4361232,null,null,043,4361232,null,null,null,00871495,0001,24,-23.654251,-51.5781151
6601,04215342000180,AUTO POSTO MENDES LTDA,"AV JOSE FERREIRA DA COSTA, 984",1,AUTO POSTO FAZENDA,02,20050924,00,null,null,20001213,4731800,"4520005,4723700,4729602,4732600",AVENIDA,JOSE FERREIRA DA COSTA,984,null,CENTRO,79550000,MS,9803,67,32471166,67,99710553,null,null,FINANCEIRO@POSTOFAZENDA.COM.BR,null,null,04215342,0001,80,null,null
6608,04223550000120,RIBEIRO MIGUEL SUTIL AUTO POSTO LTDA,"AV MIGUEL SUTIL, 8551",1,POSTO MILLENIUM,02,20010108,00,null,null,20010108,4731800,"4520005,4520006,4729602,4732600",AVENIDA,MIGUEL SUTIL,8551,null,DUQUE DE CAXIAS,78043305,MT,9067,65,36613433,null,null,null,null,POSTOMILLENIUMCUIABA@HOTMAIL.COM,null,null,04223550,0001,20,null,null
154288,00886231000144,AUTO POSTO CUBANGO LTDA,"RUA NORONHA TORREZAO, 531",1,null,02,20051103,00,null,null,19951024,4731800,4732600,RUA,NORONHA TORREZAO,531,null,CUBANGO,24240181,RJ,5865,null,null,null,null,null,null,null,null,null,00886231,0001,44,-22.8904282,-43.0898857
107392,00896381000139,POSTO RIO JAVAES LTDA,"AV RIO FORMOSO, 1215",1,POSTO RIO JAVAES,02,20050827,00,null,null,19840705,4731800,"4732600,4784900,4530703,4729699,4723700,4520005,4520006,4930203",AVENIDA,RIO FORMOSO,1215,QD. 62 - LOTE 1/6,CENTRO,77470000,TO,9365,063,3571261,null,null,063,3571261,postoriojavae@cultura.com.br,null,null,00896381,0001,39,null,null
50757,16496705000505,COMERCIAL DE COMBUSTIVEIS MARTINS LTDA,"PC BENJAMIM COSTA, 33",2,POSTO BERIMBAU II,02,20030621,00,null,null,20001113,4731800,"4520005,4530703,4729602,4732600,4930203",PRACA,BENJAMIM COSTA,33,null,CENTRO,44245000,BA,3469,null,null,null,null,null,null,POSTO@REDESERVEBEM.COM.BR,null,null,16496705,0005,05,null,null
